id,question,options,correctAnswer,explanation
17,空域通常划分为①机场飞行空域②航路、航线③空中禁区、空中限制区和空中危险区。 {{c1::C}},①②||①③||①②③,3,《中华人民共和国飞行基本规则》第十二条规定：空域通常划分为机场飞行空域、航路、航线、空中禁区、空中限制区和空中危险区等。
18,8900 米至12500 米，每隔多少米为一个等待高度层？ {{c1::A}},300||500||600,1,《中华人民共和国飞行基本规则》第十四条：8400 米以下，每隔300 米为一个等待高度层；8400 米至8900 米隔500 米为一个等待高度层；8900 米至12500 米，每隔300 米为一个等待高度层；12500 米以上，每隔600 米为一个等待高度层。
19,航路的宽度通常为 {{c1::B}},10公里||20公里||25公里,2,《中华人民共和国飞行基本规则》第十五条：航路的宽度为20公里，其中心线两侧各10公里。
20,航线分为（ ）和（ ） {{c1::B}},定期航线、不定期航线||固定航线、临时航线||直达航线、转飞航线,2,《中华人民共和国飞行基本规则》第十六条规定：航线分为固定航线和临时航线。
21,空中走廊的宽度通常为（  ）公里，受限制的空中走廊宽度不得小于（   ）公里。 {{c1::B}},8，10||10，8||10，5,2,《中华人民共和国飞行基本规则》第二十一条 空中走廊的宽度通常为10公里，其中心线两侧各5公里。受条件限制的，其宽度不得小于8公里。
22,实施飞出或者飞入中国领空的飞行和各飞行管制区间的飞行，必须经（  ）批准 {{c1::A}},中国人民解放军空军||国务院和中央军事委员会||民航局,1,《中华人民共和国飞行基本规则》第三十五条规定：获准飞出或者飞入中华人民共和国领空的航空器，实施飞出或者飞入中华人民共和国领空的飞行和各飞行管制区间的飞行，必须经中国人民解放军空军批准；飞行管制区内飞行管制分区间的飞行，经负责该管制区飞行管制的部门批准。
23,转场航空器的起飞，机场区域内、外飞行的开始和结束，均应当遵守预定的时间；需要提前或者推迟起飞时间的 {{c1::A}},应当经上一级飞行管制部门的许可||应当经区域管制部门的许可||应当经地区管理局调度室的许可,1,《中华人民共和国飞行基本规则》第三十八条：转场航空器的起飞，机场区域内、外飞行的开始和结束，均应当遵守预定的时间；需要提前或者推迟起飞时间的，应当经上一级飞行管制部门的许可。
24,飞行申请的内容包括 {{c1::B}},任务性质、航空器型别、装载情况、飞行范围、起止时间、飞行高度和飞行条件||任务性质、航空器型别、飞行范围、起止时间、飞行高度和飞行条件||任务性质、航空器型别、装载情况、起止时间、飞行高度和飞行条件,2,《中华人民共和国飞行基本规则》第三十九条：飞行申请的内容包括：任务性质、航空器型别、飞行范围、起止时间、飞行高度和飞行条件等。
25,无识别标志的航空器因特殊情况需要飞行的 {{c1::B}},必须经相关管制单位批准||必须经中国人民解放军空军批准||必须经中国民用航空总局空中交通管理局批准,2,《中华人民共和国飞行基本规则》第四十一条：无识别标志的航空器因特殊情况需要飞行的，必须经中国人民解放军空军批准。
26,进行起落航线飞行时，经过空中交通管制员或飞行指挥员许可，大速度飞机可以在三转弯前超越小速度飞机，超越时应当从前面飞机的外侧超越，其横向间隔不得小于 {{c1::B}},100米||200米||300米,2,《中华人民共和国飞行基本规则》第五十一条进行起落航线飞行时，禁止超越同型航空器；各航空器之间的距离，一般应当保持在1500米以上；经空中交通管制员或者飞行指挥员许可，速度大的航空器可以在第三转弯前超越速度小的航空器，超越时应当从前航空器的外侧超越，其间隔不得小于200米。除必须立即降落的航空器外，任何航空器不得从内侧超越前航空器。
27,禁止起飞或者滑行的辅助指挥符号和信号是 {{c1::C}},昼间用白色信号旗向上指，夜间打开白色信号灯，或者向飞机前方发射白色信号弹||昼间用信号旗，夜间用指挥棒组成一个“Ｘ”架||昼间用红色信号旗向上指，夜间打开红色信号灯，或者向飞机前方发射红色信号弹,3,禁止起飞（或者滑行）的辅助指挥符号和信号是：昼间用红色信号旗向上指或向航空器前方发射红色信号弹。夜间打开红色信号灯或向航空器前方发射红色信号弹。
28,当临时航线与航路、固定航线交叉时，水平能见度大于（  ），应当按照规定的飞行高度通过。 {{c1::B}},5公里的||8公里的||10公里的,2,《中华人民共和国飞行基本规则》第七十二条：当临时航线与航路、固定航线交叉时，水平能见度大于8公里的，应当按照规定的飞行高度通过。
29,航路、航线飞行或者转场飞行的航空器的起飞，应当根据（ ）确定。 {{c1::A}},飞行人员和航空器的准备情况，起飞机场、降落机场和备降机场的准备情况以及天气情况等||飞行人员的准备情况，起飞机场的天气情况||航空器的准备情况,1,《中华人民共和国飞行基本规则》第六十九条：航路、航线飞行或者转场飞行的航空器的起飞，应当根据飞行人员和航空器的准备情况，起飞机场、降落机场和备降机场的准备情况以及天气情况等确定。
30,遇有紧急情况，飞行安全受到威胁时，机长改变高度层的方法是（） {{c1::A}},先改变航向，再改变高度||先改变高度，再改变航向||航向，高度同时改变,1,遇有紧急情况，飞行安全受到威胁时，机长可以决定改变原配备的飞行高度层，但必须立即报告飞行管制部门，并对该决定负责。改变高度层的方法是：从航空器飞行的方向向右转30度，并以此航向飞行20公里，再左转平行原航线上升或者下降到新的高度层，然后转回原航线。
31,通用航空飞行活动使用临时航线转场飞行的，其飞行计划申请应当在拟飞行（  ）前向当地飞行管制部门提出。 {{c1::B}},1天||2天||3天,2,《通用航空飞行管制条例》第十八条规定：使用临时航线转场飞行的，其飞行计划申请应当在拟飞行2天前向当地飞行管制部门提出；飞行管制部门应当在拟飞行前1天18时前作出批准或者不予批准的决定，并通知申请人，同时按照规定通报有关单位。
32,对于通用航空飞行活动使用临时航线转场飞行的，飞行管制部门应当在拟飞行前（  ）前作出批准或者不予批准的决定，并通知申请人，同时按照规定通报有关单位。 {{c1::B}},一日的15:00||一日的18:00||一日的21:00,2,《通用航空飞行管制条例》第十八条 使用临时航线转场飞行的，其飞行计划申请应当在拟飞行２天前向当地飞行管制部门提出；飞行管制部门应当在拟飞行前１天１８时前作出批准或者不予批准的决定，并通知申请人，同时按照规定通报有关单位。
33,通用航空的飞行计划申请应当在拟飞行前（  ）提出。 {{c1::A}},一日的15:00||一日的12:00||一日的21:00,1,《通用航空飞行管制条例》第十六条：飞行计划申请应当在拟飞行前１天１５时前提出；飞行管制部门应当在拟飞行前１天２１时前作出批准或者不予批准的决定，并通知申请人。
34,从事通用航空飞行活动的单位、个人未经批准擅自飞行的，由有关部门按照职责分工责令改正，给予警告；情节严重的，处（  ）罚款，并可给予责令停飞（  ）、暂扣直至吊销经营许可证、飞行执照的处罚 {{c1::A}},2万元以上10万元以下，1个月至3个月||1万元以上5万元以下，1个月至6个月||1万元以上5万元以下，1个月至3个月,1,"《通用航空飞行管制条例》第四十一条规定：从事通用航空飞行活动的单位、个人违反本条例规定，有下列情形之一的，由有关部门按照职责分工责令改正，给予警告；情节严重的，处2万元以上10万元以下罚款，并可给予责令停飞1个月至3个月、暂扣直至吊销经营许可证、飞行执照的处罚；造成重大事故或者严重后果的，依照刑法关于重大飞行事故罪或者其他罪的规定，依法追究刑事责任：
（一）未经批准擅自飞行的；
（二）未按批准的飞行计划飞行的；
（三）不及时报告或者漏报飞行动态的；
（四）未经批准飞入空中限制区、空中危险区的。"
35,飞行时间的含义是指 {{c1::A}},从航空器自装载地点开始滑行直到飞行结束到达卸载地点停止运动时为止的时间||自航空器开始起飞滑跑至着陆滑跑终止的时间||从航空器起飞进入跑道至着陆脱离跑道的时间,1,CCAR-61部第61.7条 定义：(d) 飞行时间，是指航空器为准备起飞而借助自身动力开始移动时起，到飞行结束停止移动时止的总时间。对于直升机是指，从直升机的旋翼开始转动时起到直升机飞行结束停止移动及旋翼停止转动为止的总时间。对于滑翔机是指，不论拖曳与否，从滑翔机为了起飞而开始移动时起到飞行结束停止移动时为止占用的飞行总时间。
36,执行公安巡逻的航空器属于 {{c1::A}},国家航空器||民用航空器||军用航空器,1,依据CCAR61部第61.7条规定，国家航空器，是指用于执行军事、海关、警察飞行任务的航空器。
37,空勤人员在执行飞行任务时，应当随身携带 {{c1::C}},飞行记录本||飞机适航证书||执照和体检合格证,3,《中华人民共和国民用航空法》第四十一条：空勤人员在执行飞行任务时，应当随身携带执照和体格检查合格证书，并接受国务院民用航空主管部门的查验。
38,在中国进行国籍登记的航空器上担任飞行机组必需成员的驾驶员，必须携带 {{c1::A}},驾驶员执照和体检合格证||飞行记录本||航空器适航证,1,"CCAR-61部第61.9条 执照、合格证和等级的要求：
(a) 驾驶员执照： (1) 在中国进行国籍登记（以下简称为“登记”）的航空器上担任飞行机组必需成员的驾驶员，应当持有按本规则颁发或认可的有效驾驶员执照，并且在行使相应权利时随身携带该执照。当中国登记的航空器在外国境内运行时，可以使用该航空器运行所在国颁发或认可的有效驾驶员执照；
(b) 体检合格证： (1) 持有按本规则颁发或认可的执照担任航空器飞行机组必需成员的驾驶员，应当持有按中国民用航空规章《民用航空人员体检合格证管理规则》（CCAR-67FS）颁发或认可的有效体检合格证，并且在行使驾驶员执照上的权利时随身携带该合格证；"
39,驾驶员体检合格证过了有效期后是否可以继续飞行？ {{c1::A}},不能飞行||能飞行||局方许可以后可以飞行,1,依据CCAR61部第 61.9条规定，持有按本规则颁发或认可的执照担任航空器飞行机组必需成员的驾驶员，应当持有按中国民用航空规章《民用航空人员体检合格证管理规则》（CCAR-67FS）颁发或认可的有效体检合格证，并且在行使驾驶员执照上的权利时随身携带该合格证；
40,以下哪个是按照CCAR61部审定颁发的执照？ {{c1::A}},运动驾驶员执照||机务执照||签派执照,1,"CCAR-61部第61.13条 按本规则颁发的执照和等级：
(a) 对完成本规则所要求的相应训练并符合所申请执照要求的申请人颁发下列相应的执照： (1) 学生驾驶员执照； (2) 运动驾驶员执照； (3) 私用驾驶员执照； (4) 商用驾驶员执照； (5) 多人制机组驾驶员执照； (6) 航线运输驾驶员执照；"
41,申请增加仪表等级，应至少持有 {{c1::A}},私用驾驶员执照||商用驾驶员执照||学生驾驶员执照,1,"依据CCAR61部第61.13条规定(b) 对完成本规则所要求的相应训练并符合所申请等级要求的申请人，在其私用驾驶员执照、商用驾驶员执照和航线运输驾驶员执照上签注下列相应的等级：
(4) 仪表等级（仅用于私用和商用驾驶员执照）：
(i) 仪表－飞机； (ii) 仪表－直升机； (iii) 仪表－飞艇； (iv) 仪表－倾转旋翼机。"
42,下列属于飞机级别等级的是 {{c1::B}},自转旋翼机||单发陆地||初级飞机,2,"依据CCAR-61部第61.13条规定，航空器级别等级有：(i) 飞机级别等级：
(A) 单发陆地；
(B) 多发陆地；
(C) 单发水上；
(D) 多发水上。"
43,"担任下列航空器的机长必须持有适合该航空器的型别等级
①审定为最大起飞全重在5700千克以上的飞机
②涡轮喷气动力飞机
③审定为最大起飞全重在3,180千克以上的直升机 {{c1::C}}",①②||②③||①②③,3,"根据CCAR61部第61.13条规定：对完成本规则所要求的相应训练并符合所申请等级要求的申请人，在其私用驾驶员执照、商用驾驶员执照和航线运输驾驶员执照上签注下列相应的等级：
航空器型别等级：
(i) 审定为最大起飞全重在 5,700 千克以上的飞机；
(ii) 审定为最大起飞全重在 3,180 千克以上的直升机和倾转旋翼机；
(iii) 涡轮喷气动力的飞机；
(iv) 局方通过型号合格审定程序确定需要型别等级的其他航空器。"
44,持有私用驾驶员临时执照是否可以行使私用驾驶员正式执照同等的权利？ {{c1::C}},不可以||可以，在收到所申请的执照之前一直享有同等权利||可以，在临时执照有效期内具有相同权利,3,"局方可以为下列申请人颁发有效期不超过120天的驾驶员临时执照， 临时执照在有效期内具有和正式执照同等的权利和责任：
(1) 已经审定合格的执照申请人，在等待颁发执照期间；
(2) 在执照上更改姓名的申请人，在等待更改执照期间；
(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
45,依据CCAR61部，学生驾驶员执照在颁发月份之后第（  ）个日历月结束时有效期满。 {{c1::C}},12||18||24,3,详见CCAR-61部第61.21条执照的有效期（b）：学生驾驶员执照在颁发月份之后第24个日历月结束时有效期满。
46,学生驾驶员执照持有人在训练器上接受训练时，是否需要携带体检合格证？ {{c1::C}},必须携带I级体检合格证||必须携带II级体检合格证||不需要,3,CCAR-61第61.25 条体检合格证的要求和有效期 （b）下列情形下，驾驶员可以不持有体检合格证： (1) 行使地面教员执照所赋予的权利； (2) 作为飞行教员、考试员或者检查员在飞行模拟机或者飞行训练器上进行的为取得执 照、等级或许可的训练、考试或者检查； (3) 在飞行模拟机或者飞行训练器上接受为取得执照、等级或者许可的训练、考试或检查。
47,对按照121部规定运行的年满40周岁以上的执照持有人，其I级体检合格证有效期是 {{c1::C}},12个月||24个月||6个月,3,Ⅰ级体检合格证有效期为12个月，年龄满60周岁以上者为6个月。其中参加《大型飞机公共航空运输承运人运行合格审定规则》（CCAR-121）规定运行的驾驶员年龄满40周岁以上者为6个月。
48,学生驾驶员什么时候可以不携带体检合格证？ {{c1::B}},在航空器上接受授权教员进行的飞行训练时||在模拟机上进行训练、检查或考试时||学生驾驶员任何情况下都不需要携带体检合格证,2,"下列情形下，驾驶员可以不持有体检合格证：
(1) 行使地面教员执照所赋予的权利；
(2) 作为飞行教员、考试员或者检查员在飞行模拟机或者飞行训练器上进行的为取得执照、等级或许可的训练、考试或者检查；
(3) 在飞行模拟机或者飞行训练器上接受为取得执照、等级或者许可的训练、考试或检查。"
49,80岁的私照飞行员可以继续飞行吗？ {{c1::A}},在符合现行体检合格标准的情况下可以||不可以||可以，但需要执照上加限制,1,驾驶员已知身体有缺陷或者已知身体缺陷加重，不符合现行体检合格证标准时，不得担任机长或者飞行机组的其他必需成员。
50,全重在5700千克以下的航空器，下列哪类需要型别等级？ {{c1::B}},自转旋翼机||涡轮喷气飞机||涡桨飞机,2,"CCAR-61部第61.13条 按本规则颁发的执照和等级
(3) 航空器型别等级：(i) 审定为最大起飞全重在5,700千克以上的飞机；(ii) 审定为最大起飞全重在3,180千克以上的直升机和倾转旋翼机；(iii) 涡轮喷气动力的飞机；(iv) 局方通过型号合格审定程序确定需要型别等级的其他航空器。"
51,某飞行员持有单发陆地级别等级的执照，他能直接驾驶水上飞机吗？ {{c1::B}},能||不能，需要在执照上签注单发水上级别等级||不能，需要参加水上训练，并取得结业证明,2,"CCAR-61部第61.27条 航空器等级限制和附加训练要求
(c) 类别、级别和型别等级的要求：(3) 持有飞机类别单发陆地或多发陆地级别等级的驾驶员可以行使附带陆地等级的初级飞机执照所赋予的权利；持有飞机类别单发水上或多发水上级别等级的驾驶员可以行使附带水上等级的初级飞机执照所赋予的权利；持有飞艇类别等级的驾驶员可以行使附带小型飞艇等级的运动驾驶员执照所赋予的权利。"
52,除经局方批准外，按照CCAR61取得驾驶员执照的人员，若想使用英语进行无线电陆空通信，则必须 {{c1::A}},通过局方的英语考试并至少取得4级签注||通过公司的英语考试，并得到局方签注||得到管制员许可,1,依据CCAR61部第61.29条规定，(b) 按照本规则取得驾驶员执照的人员通过了局方组织或认可的英语语言能力3级或3级以上测试的，在执照上签注相应的等级。 (1) 在2008年3月4日以前颁发的执照上已取得英语无线电陆空通信签注的，等同于英语语言能力3级。 (2) 除经局方批准外，按照本规则取得的飞机、直升机、飞艇和倾转旋翼机驾驶员执照持有人在使用英语通信前，其执照上应当具有英语语言能力4级或4级以上的等级签注。对于执照上签注的英语语言能力低于6级的，还应当定期通过英语语言能力等级测试。
53,私用驾驶员执照笔试最低通过成绩为 {{c1::B}},60分（百分制）||80分（百分制）||3分（五分制）,2,依据民航局AC-61-FS-2014-09R4咨询通告，私用驾驶员执照理论考试80分通过。
54,在理论考试过程中，如果遇到计算题，可以使用（） {{c1::B}},手机上的计算器||考试电脑上的计算器||飞行模式的手机计算器或电脑的计算器,2,"手机不允许带入考试现场。在理论考试和语言能力考试过程中，申请人不得有下列行为：
(a) 以任何形式复制或保存考试试题；
(b) 交给其他申请人或从其他申请人那里得到考试试题的任一部分或其复印件或扫描件；
(c) 帮助他人或者接受他人的帮助；
(d) 代替他人或由他人代替参加部分或者全部考试；
(e) 使用未经局方批准的材料或者其他辅助物品；
(f) 破坏考场设施；
(g) 故意引起、助长或者参与本条禁止的行为。"
55,申请人在中断实践考试后（ ）天内必须通过剩下的实践考试，否则申请人必须重新参加全部实践考试，包括重新完成已经完成的科目。 {{c1::B}},30天||60天||90天,2,CCAR-61部第61.39条 实践考试的准考条件：(c) 申请人没有在一天内完成申请执照或等级实践考试的全部科目，所有剩余的考试科目应当在申请人开始考试之日起的60个日历日内完成，没有在该60个日历日内完成的，申请人应当重新参加全部实践考试，包括重新完成已经完成的科目。
56,私用驾驶员执照申请人的实践考试必须在一天内完成吗？ {{c1::B}},是||不是，天气恶劣时考试员可中断考试||不是，中断后须在30天内完成剩余的考试科目,2,依据CCAR61部第61.43条规定，由于恶劣的天气条件、航空器适航性或其他影响飞行安全的情况发生时，考试员或者申请人可以随时中断考试。如果实践考试中断，在符合下列规定时，局方可以承认申请人已经完成并合格的操作：(1) 申请人在中断实践考试后60天内通过剩下的实践考试；(2) 申请人在继续考试时应当出示中断考试证明。(d) 申请人在一个或者多个操作上不合格，则该实践考试应判定为不合格。
57,实践考试中，考试员是否可以担任该航空器的机长？ {{c1::B}},不可以||可以，但必须经过考试员本人同意||可以，但必须经过局方同意,2,"详见CCAR-61第61.47 条 实践考试中考试员的地位：
(b) 考试员在实践考试期间不是该航空器的机长，但是如果需要，经预先安排并经考试员本人同意，方可担任该次飞行的机长。"
58,未通过理论考试或者实践考试的申请人，如何申请再次考试？ {{c1::C}},应当接受了地面教员或飞行教员提供的必需的训练||补充训练要有授权教员的签字||应当接受了地面教员或飞行教员提供的必需的训练，补充训练要有授权教员的签字,3,"CCAR61部第61. 49条 考试不合格后的再次考试：
(a) 未通过理论考试或者实践考试的申请人符合下列规定可以申请再次考试： 
(1) 接受了授权教员提供的补充训练，并且该教员认为申请人有能力通过考试； 
(2) 同时得到向申请人提供补充训练的授权教员的签字批准。"
59,"私用、商用或者航线运输驾驶员可将下列飞行时间记作机长飞行经历时间
①在已取得等级的航空器上作为操纵装置的唯一操纵者的飞行时间②作为航空器唯一乘员时的飞行时间③在型号合格审定为或者相应的运行规章要求配备一名以上驾驶员的航空器上担任机长时的飞行时间 {{c1::C}}",①③||①②||①②③,3,"CCAR-61部第61.51条 飞行经历记录本
(2) 机长飞行经历时间：(i) 在已取得等级的航空器上作为操纵装置的唯一操纵者的飞行时间，但接受授权教员教学的飞行时间除外；作为航空器唯一乘员时的飞行时间；在型号合格审定为或者相应的运行规章要求配备一名以上驾驶员的航空器上担任机长时的飞行时间；作为持有商用驾驶员执照、航线运输驾驶员执照或多人制机组驾驶员执照的驾驶员在型号合格审定为或者相应的运行规章要求配备一名以上驾驶员的航空器上作为副驾驶在机长监视下履行机长职责的飞行时间；"
60,在CCAR61部要求下，对于商业飞行，机长和副驾的熟练检查期限为 {{c1::B}},24个月||12个月||6个月,2,第61.59条熟练检查a. 对于商业运行，担任机长或者在型号合格审定要求配备一名以上驾驶员的航空器上担任副驾驶的驾驶员，应当针对所飞航空器的类别、级别和型别等级（ 如适用），在前1２个日历月内完成熟练检查。
61,按照CCAR61部颁发的执照持有人，若已变更永久通信地址，必须自变更之日起（ ）天内通知局方 {{c1::B}},20||30||15,2,"CCAR-61部第61.65条 变更姓名或者地址：
(b) 已变更永久通信地址的按本规则颁发的执照持有人，应当自变更之日起30天内通知局方。"
62,某飞行员执照上签注了单发陆地的级别等级，若其要获得单发水上的等级签注，必须 {{c1::A}},通过单发水上级别的实践考试||通过单发水上级别的理论考试||签注单发水上级别之后通过单发水上级别的实践考试,1,详见CCAR-61部第61.81条 增加航空器等级。
63,学生驾驶员执照申请人应当持有局方颁发的现行有效（  ）体检合格证。 {{c1::B}},II级或者III级||I级或者II级||I级或者III级,2,"CCAR-61部第61.103条 资格要求：
符合下列条件的申请人，局方可以为其颁发学生驾驶员执照：(a) 年满16周岁；(b) 5年内无犯罪记录；(c) 能正确读、听、说、写汉语，无影响双向无线电通话的口音和口吃。申请人因某种原因不能满足部分要求的，局方应当在其执照上签注必要的运行限制；(d) 持有局方颁发的现行有效Ⅱ级或者I级体检合格证。"
64,学生驾驶员在单飞前应通过（）以证明其具有相应的理论水平？ {{c1::A}},授权教员实施的理论考试||培训学校组织的理论考试||局方组织的理论考试,1,"依据CCAR61部第61.105条学生驾驶员单飞要求规定，(b) 学生驾驶员应当通过由授权教员实施的理论考试，证明其具有要求的航空知识。理论考试应当包括下列内容： 
(1) 本规则和一般运行规则中的适用部分；
(2) 单飞所用机场的空中交通规则和程序；
(3) 所用航空器的飞行特性和运行限制。"
65,学生驾驶员学飞期间能否驾驶飞机带亲友游玩？ {{c1::B}},可以||不可以||可以，但必须经考试员同意,2,依据CCAR61部第61.107条规定，(a)学生驾驶员不得从事下列行为：(1)在载运旅客的航空器上担任机长；(2)以取酬为目的在载运货物的航空器上担任机长；(3)为获取酬金而担任航空器机长；(4)在空中或地面能见度白天小于5千米、夜间小于8千米的飞行中担任航空器机长；(5)在不能目视参照地标的飞行中担任航空器机长；(6)在违背授权教员对于该驾驶员飞行经历记录本中签注的限制的情况下担任航空器机长。
